name,activity_type,price,length,best_time,drive_min_from_dtla,visited,latitude,longitude,website,geocode_query,notes
Le Great Outdoor,Restaurant,$$,1-3h,Evening,14,no,,,,"Le Grand Outdoor, Los Angeles",ESTIMATE | spelling uncertain | GEOCODE FAILED
Beethoven Market,Restaurant,$,<1h,Lunch,22,no,34.006175,-118.446354,,"Beethoven Market, Los Angeles","ESTIMATE | matched: Beethoven Market & Liquor, Palms Boulevard, Mar Vi"
Gjusta,Restaurant,$$$,1-3h,Morning,20,no,33.995274,-118.474578,,"Gjusta, Venice, Los Angeles","ESTIMATE | matched: Gjusta, Sunset Avenue, Venice, Los Angeles, Los An"
De La Nonna,Restaurant,$$,1-3h,Evening,6,no,34.045048,-118.237588,,"De La Nonna, Los Angeles","ESTIMATE | Arts District | matched: De La Nonna, East 4th Place, Arts District, Downto"
Great White,Restaurant,$$,1-3h,Morning,20,yes,33.987724,-118.471782,,Great White restaurant Venice Los Angeles CA,"ESTIMATE | matched: Great White, Windward Avenue, Venice, Los Angeles,"
Cafe on 27,Restaurant,$$,1-3h,Morning,18,no,34.082176,-118.317362,,"Cafe on 27, Los Angeles","ESTIMATE | matched: Cafe, Clinton Street, Larchmont, Hancock Park, Hol"
Calabra,Restaurant,$$$,1-3h,Evening,18,no,,,,"Calabra, Santa Monica",ESTIMATE | Santa Monica Proper rooftop | GEOCODE FAILED
John and Vinny's,Restaurant,$$$,1-3h,Evening,12,no,,,,"Jon and Vinny's, Los Angeles",ESTIMATE | GEOCODE FAILED
All'Antico Vinaio,Restaurant,$,<1h,Lunch,10,yes,34.063646,-118.308789,,"All'Antico Vinaio, Los Angeles","ESTIMATE | matched: All'Antico Vinaio, 3925, West 6th Street, Koreatow"
Alba,Restaurant,$$$,1-3h,Evening,12,no,44.015990,12.641628,,"Alba, Los Angeles","ESTIMATE | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Los Angeles, Viale Alessandro Tassoni, Alba, Riccione, Rimin]"
Union Pasadena,Restaurant,$$$,1-3h,Evening,18,no,34.146898,-118.149656,,"Union, Pasadena, CA","ESTIMATE | matched: Union, 37, East Union Street, Old Pasadena, Pasade"
Burger She Wrote,Restaurant,$$,1-3h,Lunch,14,no,34.075949,-118.352477,,"Burger She Wrote, Los Angeles","ESTIMATE | matched: Burger she wrote, 7454 1/2, Beverly Boulevard, Fai"
Negroni,Restaurant,$$$,1-3h,Evening,14,yes,,,,"Negroni, Los Angeles",ESTIMATE | GEOCODE FAILED
Pantry,Restaurant,$$,1-3h,Anytime,5,no,,,,"The Original Pantry Cafe, Los Angeles",ESTIMATE | distinct from 'Pantry West' | GEOCODE FAILED
The Woods,Restaurant,$$,1-3h,Evening,16,no,34.090914,-118.369606,,"The Woods, Los Angeles","ESTIMATE | matched: The Woods WeHo, 8271, Santa Monica Boulevard, West"
Tea At Shiloh,Restaurant,$$,1-3h,Afternoon,16,no,,,,"Tea at Shiloh, Los Angeles",ESTIMATE | GEOCODE FAILED
Dog People,Restaurant,$$,1-3h,Evening,14,no,,,,"Dog People, Los Angeles",ESTIMATE | GEOCODE FAILED
Seco,Restaurant,$$,1-3h,Evening,15,no,34.117476,-118.168565,,"Seco, Los Angeles","ESTIMATE | matched: Arroyo Seco, Pasadena Council District 1, South Pa"
Wife and the Somm,Restaurant,$$$,1-3h,Evening,16,no,,,,"Wife and the Somm, Los Angeles",ESTIMATE | GEOCODE FAILED
Hippo,Restaurant,$$$,1-3h,Evening,12,no,34.110490,-118.190388,,"Hippo, Highland Park, Los Angeles","ESTIMATE | matched: Hippo, 5916 1/2, North Figueroa Street, Highland P"
Etra,Restaurant,$$$,1-3h,Evening,12,no,,,,"Etra, Los Angeles",ESTIMATE | GEOCODE FAILED
Cento Pasta + Raw Bar,Restaurant,$$$,1-3h,Evening,10,no,,,,"Cento Pasta Bar, Los Angeles",ESTIMATE | see 'Cento Bar' - may be same | GEOCODE FAILED
Blossom,Restaurant,$$,1-3h,Lunch,8,no,34.047390,-118.247690,,"Blossom, Los Angeles","ESTIMATE | matched: Blossom, Winston Street, Toy District, Historic Co"
Flippers,Restaurant,$$,1-3h,Anytime,16,no,,,,"Flippers, Los Angeles",ESTIMATE | GEOCODE FAILED
Messob,Restaurant,$$,1-3h,Evening,12,no,,,,"Messob Ethiopian, Los Angeles",ESTIMATE | Little Ethiopia | GEOCODE FAILED
Tatami Sushi,Restaurant,$$,1-3h,Evening,18,no,,,,"Tatami Sushi, Los Angeles",ESTIMATE | GEOCODE FAILED
Papi's,Restaurant,$,<1h,Anytime,14,yes,34.042597,-118.252800,,"Papi's, Los Angeles","ESTIMATE | matched: Papi's Pizza, 109, East 8th Street, Jewelry Distri"
Leo's Tacos,Restaurant,$,<1h,Late night,12,yes,,,,"Leo's Tacos Truck, Los Angeles",ESTIMATE | prev geocode failed | GEOCODE FAILED
Park's Finest,Restaurant,$$,1-3h,Evening,8,yes,34.066679,-118.254419,,"The Park's Finest BBQ, Los Angeles","ESTIMATE | matched: The Park's Finest BBQ, 1267, West Temple Street, A"
Tartine,Restaurant,$$,<1h,Morning,12,yes,34.092321,-118.279994,,"Tartine, Los Angeles","ESTIMATE | matched: Tartine, 3921, West Sunset Boulevard, Sunset Junct"
Carney's,Restaurant,$,<1h,Anytime,14,yes,34.095935,-118.371905,,"Carney's, Sunset Blvd, Los Angeles","ESTIMATE | matched: Carney's Restaurant, 8351, West Sunset Boulevard,"
Ten-KBBQ,Restaurant,$$,1-3h,Evening,12,yes,,,,"Ten KBBQ, Los Angeles",ESTIMATE | GEOCODE FAILED
Hawt Mess,Restaurant,$$,1-3h,Lunch,14,yes,,,,"Hawt Mess, Los Angeles",ESTIMATE | GEOCODE FAILED
Uovo,Restaurant,$$,1-3h,Evening,16,yes,34.143037,-118.131955,,"Uovo, Los Angeles","ESTIMATE | matched: Uovo, 146, South Lake Avenue, South Lake Ave, Pasa"
Secret Slice,Restaurant,$,<1h,Late night,12,yes,,,,"Secret Slice, Los Angeles",ESTIMATE | GEOCODE FAILED
Squirl,Restaurant,$$,<1h,Morning,8,no,34.084516,-118.286695,,"Sqirl, Los Angeles","ESTIMATE | spelled 'Sqirl' | matched: Sqirl, 720, North Virgil Avenue, Virgil Village, E"
Blondie,Restaurant,$$,1-3h,Evening,12,no,10.142655,-85.451276,,"Blondie, Los Angeles","ESTIMATE | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Blondie, Avenida 2, Nicoya, Los Ángeles, Nicoya, Guanacaste,]"
Manuela,Restaurant,$$$,1-3h,Evening,8,no,3.999054,-73.767002,,"Manuela, Los Angeles","ESTIMATE | Arts District | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Los Angeles, Manuela, Acacías, Piedemonte, Meta, RAP (Especi]"
Laurel Hardware,Restaurant,$$$,1-3h,Evening,18,no,34.090584,-118.364416,,"Laurel Hardware, West Hollywood","ESTIMATE | matched: Laurel Hardware, 7984, Santa Monica Boulevard, Wes"
Donna's Echo Park,Restaurant,$$,1-3h,Evening,8,no,,,,"Donna's, Echo Park, Los Angeles",ESTIMATE | GEOCODE FAILED
Juneshine,Bar,$$,1-3h,Evening,20,no,33.999106,-118.480937,,"JuneShine, Los Angeles","ESTIMATE | matched: JuneShine, 2914, Main Street, Ocean Park, Santa Mo"
71 Above,Bar,$$$,1-3h,Evening,5,no,34.051154,-118.254553,,"71Above, Los Angeles","ESTIMATE | DTLA skyscraper | matched: 71Above, 633, West 5th Street, Jewelry District, H"
Bonsai,Bar,$$,1-3h,Evening,14,no,,,,"Bonsai bar, Los Angeles",ESTIMATE | BOTH BAR & CAFE in list - confirm/split | GEOCODE FAILED
Upside Down Bar,Bar,$$,1-3h,Late night,16,no,,,,"Upside Down Bar, Los Angeles",ESTIMATE | GEOCODE FAILED
Brennan's Turtle Racing,Bar,$$,1-3h,Evening,22,no,,,,"Brennan's, Marina del Rey",ESTIMATE | GEOCODE FAILED
No Vacancy,Bar,$$$,1-3h,Late night,12,no,34.102229,-118.332446,,"No Vacancy, Los Angeles","ESTIMATE | matched: No Vacancy, 1727, North Hudson Avenue, Yucca Corri"
Brass Monkey,Bar,$$,1-3h,Late night,10,no,34.061059,-118.298909,,"Brass Monkey, Los Angeles","ESTIMATE | Koreatown | matched: The Brass Monkey, South Mariposa Avenue, Koreatown"
The Varnish,Bar,$$,1-3h,Late night,6,no,34.044650,-118.249301,,"The Varnish, Los Angeles","ESTIMATE | matched: The Varnish, 118, East 6th Street, Gallery Row, Hi"
La Descarga,Bar,$$$,1-3h,Late night,10,no,34.092086,-118.309411,,"La Descarga, Los Angeles","ESTIMATE | matched: la descarga, 1159, North Western Avenue, Hollywood"
Death and Co LA,Bar,$$$,1-3h,Late night,8,no,34.045723,-118.235715,,"Death & Co, Los Angeles","ESTIMATE | matched: Death & Co - Los Angeles, East 3rd Street, Little"
Thunderbolt,Bar,$$,1-3h,Evening,6,no,34.066523,-118.254221,,"Thunderbolt, Los Angeles","ESTIMATE | matched: Thunderbolt, 1255, West Temple Street, Angeleno He"
Bar Lis,Bar,$$$,1-3h,Evening,14,no,,,,"Bar Lis, Los Angeles",ESTIMATE | Hollywood rooftop | GEOCODE FAILED
Perch,Bar,$$$,1-3h,Evening,5,no,34.048944,-118.251397,,"Perch, Los Angeles","ESTIMATE | DTLA rooftop | matched: Perch, South Hill Street, Gallery Row, Historic Co"
The Rendition Room,Bar,$$$,1-3h,Late night,18,no,,,,"The Rendition Room, Los Angeles",ESTIMATE | GEOCODE FAILED
Lock and Key,Bar,$$,1-3h,Late night,10,no,34.069371,-118.291900,,"Lock & Key, Los Angeles","ESTIMATE | Koreatown | matched: Lock & Key, 239, South Vermont Avenue, Koreatown,"
Good Times at Davey Wayne's,Bar,$$,1-3h,Late night,12,no,34.100236,-118.324029,,"Good Times at Davey Wayne's, Los Angeles","ESTIMATE | matched: Good Times at Davey Wayne's, 1611, El Centro Avenu"
Clifton's Republic,Bar,$$,1-3h,Late night,6,no,34.045366,-118.252907,,"Clifton's Republic, Los Angeles","ESTIMATE | matched: Clifton's Republic, South Broadway, Jewelry Distri"
The Friend Bar,Bar,$,1-3h,Late night,10,no,,,,"The Friend, Silver Lake, Los Angeles",ESTIMATE | GEOCODE FAILED
Cento Bar,Bar,$$$,1-3h,Evening,10,no,40.351578,-3.697985,,"Cento, Los Angeles","ESTIMATE | see 'Cento Pasta + Raw Bar' | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Cento Municipal de Mayores Nuestra Señora de los Ángeles, 3,]"
Bar 82,Bar,$$,1-3h,Late night,12,no,10.963854,-74.841200,,"Bar 82, Los Angeles","ESTIMATE | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Los Ángeles III, Localidad Suroccidente, Perímetro Urbano Ba]"
OSA Rooftop,Bar,$$$,1-3h,Evening,16,no,,,,"OSA rooftop, Los Angeles",ESTIMATE | GEOCODE FAILED
Kiss Kiss Bang Bang,Bar,$$,1-3h,Late night,14,no,,,,"Kiss Kiss Bang Bang, Los Angeles",ESTIMATE | disco bar | GEOCODE FAILED
Tiki Kai,Bar,$$,1-3h,Evening,22,no,,,,"Tiki Kai, Los Angeles",ESTIMATE | GEOCODE FAILED
Prank Bar,Bar,$$,1-3h,Late night,12,no,,,,"Prank Bar, Los Angeles",ESTIMATE | GEOCODE FAILED
The Buttery,Cafe,$$,<1h,Morning,16,no,,,,"The Buttery, Los Angeles",ESTIMATE | GEOCODE FAILED
Olive and James,Cafe,$$,<1h,Morning,14,no,,,,"Olive and June, Los Angeles",ESTIMATE | name uncertain | GEOCODE FAILED
Halo,Cafe,$$,<1h,Morning,14,no,34.052574,-118.252299,,"Halo, Los Angeles","ESTIMATE | matched: Halo, South Grand Avenue, Bunker Hill, Downtown, L"
Spoke Bicycle Cafe,Cafe,$$,1-3h,Morning,12,no,34.105026,-118.243533,,"Spoke Bicycle Cafe, Los Angeles","ESTIMATE | Frogtown | matched: Spoke Bicycle Cafe, 3050, Los Angeles River Bike P"
El Matador,Cafe,$$,<1h,Morning,16,no,,,,"El Matador cafe, Los Angeles",ESTIMATE | also a Malibu beach name | GEOCODE FAILED
Modu,Cafe,$$,<1h,Morning,14,no,34.118716,-118.191956,,"Modu, Los Angeles","ESTIMATE | matched: Modu Cafe, 5805, York Boulevard, Highland Park, Lo"
Dolce,Cafe,$$,<1h,Afternoon,14,no,33.972469,-118.457497,,"Dolce, Los Angeles","ESTIMATE | matched: Via Dolce, Los Angeles, Los Angeles County, Califo"
Bacio di Latte,Cafe,$,<1h,Afternoon,12,no,34.145104,-118.395506,,"Bacio di Latte, Los Angeles","ESTIMATE | ice cream | matched: Bacio di Latte, 12109, Ventura Place, Studio City"
Mewame,Cafe,$,<1h,Afternoon,14,no,,,,"Mewame, Los Angeles",ESTIMATE | ice cream | GEOCODE FAILED
Awan,Cafe,$,<1h,Afternoon,16,no,33.998416,-118.472907,,"Awan, Los Angeles","ESTIMATE | ice cream | matched: Awan, 310, Rennie Avenue, Venice, Los Angeles, Los"
Dialog Cafe,Cafe,$$,<1h,Morning,16,no,,,,"Dialog Cafe, West Hollywood",ESTIMATE | GEOCODE FAILED
Stagger,Cafe,$$,<1h,Morning,12,no,34.058156,-118.293777,,"Stagger, Los Angeles","ESTIMATE | matched: Stagger, South Berendo Street, Koreatown, Los Ange"
Intelligentsia,Cafe,$$,<1h,Morning,8,no,34.092146,-118.280369,,Intelligentsia Coffee Silver Lake Los Angeles CA,"ESTIMATE | matched: Intelligentsia Coffee Silver Lake Coffeebar, 3922,"
Blue Bottle,Cafe,$$,<1h,Morning,12,no,34.048296,-118.491181,,"Blue Bottle Coffee, Los Angeles","ESTIMATE | MANY locations - pick one | matched: Blue Bottle Coffee, 13050, West San Vicente Boulev"
Verve Coffee Roasters,Cafe,$$,<1h,Morning,12,no,33.885861,-118.408176,,"Verve Coffee Roasters, Los Angeles","ESTIMATE | multiple locations | matched: Verve Coffee Roasters, Manhattan Beach Boulevard,"
Go Get Em Tiger,Cafe,$$,<1h,Morning,12,no,34.099941,-118.290252,,"Go Get Em Tiger, Los Angeles","ESTIMATE | multiple locations | matched: Go Get 'Em Tiger, 4630, Hollywood Boulevard, Los F"
Alfred Tea Room,Cafe,$$,<1h,Afternoon,14,no,,,,"Alfred Tea Room, Los Angeles",ESTIMATE | GEOCODE FAILED
MatchaBar,Cafe,$$,<1h,Morning,12,no,,,,"MatchaBar, Los Angeles",ESTIMATE | GEOCODE FAILED
Coffee Dose,Cafe,$$,<1h,Morning,10,no,,,,"Coffee Dose, Los Angeles",ESTIMATE | GEOCODE FAILED
Cha Cha Matcha,Cafe,$$,<1h,Morning,12,no,33.990729,-118.465838,,"Cha Cha Matcha, Los Angeles","ESTIMATE | matched: Cha Cha Matcha, California Avenue, Venice, Los Ang"
Canyon Coffee,Cafe,$$,<1h,Morning,14,no,34.081377,-118.254745,,"Canyon Coffee, Los Angeles","ESTIMATE | matched: Canyon Coffee, Delta Street, Echo Park, Los Angele"
The Ivy,Cafe,$$$$,1-3h,Lunch,12,no,34.012249,-118.495445,,"The Ivy, Los Angeles","ESTIMATE | upscale restaurant not just cafe | matched: Ivy at the Shore, 1535, Ocean Avenue, Downtown San"
Kissaten Corazon,Cafe,$$,<1h,Morning,12,no,,,,"Kissaten Corazon, Los Angeles",ESTIMATE | GEOCODE FAILED
Little Miss Cafe,Cafe,$$,<1h,Morning,12,yes,,,,"Little Miss Cafe, Los Angeles",ESTIMATE | GEOCODE FAILED
Alfred Coffee,Cafe,$$,<1h,Morning,14,yes,33.946341,-118.407313,,"Alfred Coffee, Los Angeles","ESTIMATE | multiple locations | matched: Alfred Coffee, World Way, Westchester, Los Angeles"
Ideology,Cafe,$$,<1h,Morning,12,yes,34.144298,-118.153233,,"Ideology Coffee, Los Angeles","ESTIMATE | matched: Ideology Coffee, 132, West Green Street, Pasadena"
Archives of Us,Cafe,$$,<1h,Morning,12,yes,34.031033,-118.281557,,"Archives of Us, Los Angeles",ESTIMATE | matched: ONE National Gay & Lesbian Archives at the USC Lib
Kulturas Ice Cream Bar,Cafe,$,<1h,Evening,14,no,34.150113,-118.100345,,"Kulturas, Los Angeles","ESTIMATE | ice cream bar | matched: Kulturas Latin Kitchen & Cantina, 187, North Sierr"
Bricks and Scones,Cafe,$$,1-3h,Morning,12,no,,,,"Bricks and Scones, Los Angeles",ESTIMATE | Larchmont | GEOCODE FAILED
At Gigi's,Cafe,$$,<1h,Morning,14,no,,,,"At Gigi's, Los Angeles",ESTIMATE | GEOCODE FAILED
Echo Park,Outdoors,Free,1-3h,Afternoon,8,no,34.081152,-118.270437,,"Echo Park Lake, Los Angeles","ESTIMATE | matched: Comfort Inn Los Angeles Near Hollywood, 2717, West"
Echo Park Swan Boats,Outdoors,$,1-3h,Afternoon,8,no,,,,"Echo Park Lake Boat Rentals, Los Angeles",ESTIMATE | may dedupe with Echo Park | GEOCODE FAILED
Open Yoga Studio,Activity,$$,1-3h,Morning,14,no,,,,"Open Space Yoga, Los Angeles",ESTIMATE | name uncertain | GEOCODE FAILED
Venice Canals,Outdoors,Free,1-3h,Afternoon,20,no,,,,Venice Canals Historic District Los Angeles CA,ESTIMATE | prev geocode failed | GEOCODE FAILED
Beverly Cinema,Activity,$,1-3h,Evening,12,no,34.076412,-118.345750,,"New Beverly Cinema, Los Angeles","ESTIMATE | matched: New Beverly Cinema, 7165, Beverly Boulevard, Hanco"
Kings Game,Activity,$$$,1-3h,Evening,5,yes,34.042998,-118.267135,,"Crypto.com Arena, Los Angeles","ESTIMATE | LA Kings hockey | matched: Crypto.com Arena, 1111, South Figueroa Street, Sou"
Malibu Tide Pools,Outdoors,Free,1-3h,Morning,45,yes,,,,"Malibu tide pools, Malibu CA",ESTIMATE | GEOCODE FAILED
Point Lobos,Day trip,$,Full-day,Anytime,330,no,36.514732,-121.942788,,"Point Lobos State Natural Reserve, Carmel CA","ESTIMATE | NOT LA - Carmel ~5.5hr drive | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Point Lobos State Natural Reserve, Carmel Highlands, Montere]"
City Walk,Activity,Free,1-3h,Evening,20,yes,34.136314,-118.354859,,"Universal CityWalk, Universal City CA","ESTIMATE | matched: Universal CityWalk Hollywood, Universal City, Los"
Disneyland,Activity,$$$$,Full-day,Anytime,45,yes,33.813651,-117.919735,,"Disneyland, Anaheim CA","ESTIMATE | NOT LA - Anaheim | matched: Disneyland, 1313, South Harbor Boulevard, Anaheim"
Universal Studios,Activity,$$$$,Full-day,Anytime,20,yes,34.139232,-118.354383,,"Universal Studios Hollywood, Universal City CA","ESTIMATE | matched: Universal Studios Hollywood, 100, Sheraton Drive,"
Palos Verdes Tidepools,Outdoors,Free,1-3h,Morning,40,yes,,,,"Palos Verdes tide pools, CA",ESTIMATE | GEOCODE FAILED
Santa Monica Mountains,Outdoors,Free,Half-day,Morning,35,no,34.110110,-118.798622,,"Santa Monica Mountains National Recreation Area, CA","ESTIMATE | matched: Santa Monica Mountains National Recreation Area, L"
Santa Monica Pier,Outdoors,Free,1-3h,Afternoon,25,yes,34.008896,-118.497400,,Santa Monica Pier Santa Monica CA,"ESTIMATE | matched: Santa Monica Pier, SM Pier Walkway East, Downtown"
Palm Reading,Activity,$$,<1h,Anytime,,no,,,,,ESTIMATE | REVIEW - no fixed location | NO QUERY
Regal 4DX,Activity,$$,1-3h,Evening,8,no,,,,"Regal LA Live 4DX, Los Angeles",ESTIMATE | GEOCODE FAILED
USC Football Game,Activity,$$$,Half-day,Afternoon,10,no,34.013916,-118.287800,,Los Angeles Memorial Coliseum,"ESTIMATE | matched: Los Angeles Memorial Coliseum, 3911, South Figuero"
Mulholland Trail,Hike,Free,1-3h,Morning,18,no,34.132843,-118.310916,,"Mulholland Trail, Los Angeles","ESTIMATE | matched: Mulholland Trail, Los Feliz Neighborhood Council D"
Shakespeare in Topanga Canyon,Activity,$$,Half-day,Evening,30,no,34.111313,-118.592048,,"Theatricum Botanicum, Topanga CA","ESTIMATE | matched: Theatricum Botanicum, 1419, North Topanga Canyon B"
Paramount Ranch,Outdoors,Free,1-3h,Morning,40,no,,,,"Paramount Ranch, Agoura Hills CA",ESTIMATE | GEOCODE FAILED
Chateau Marmont,Activity,$$$$,1-3h,Evening,14,no,34.098250,-118.368405,,"Chateau Marmont, Los Angeles","ESTIMATE | matched: Chateau Marmont, 8221, West Sunset Boulevard, Suns"
Ojai,Day trip,$$,Full-day,Anytime,90,no,34.448050,-119.242889,,Ojai CA,"ESTIMATE | NOT LA - ~90min | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Ojai, Ventura County, California, 93023, United States]"
Magic Tree Hike,Hike,Free,1-3h,Morning,16,no,34.136026,-118.332110,,"Wisdom Tree trail, Los Angeles","ESTIMATE | name uncertain - Wisdom Tree? | matched: Wisdom Tree, Aileen Getty Ridge Trail, Los Angeles"
Runyon Canyon Hike,Hike,Free,1-3h,Morning,14,yes,34.112036,-118.350101,,Runyon Canyon Park Los Angeles CA,"ESTIMATE | matched: Runyon Canyon Park, Hollywood, Los Angeles, Los An"
Canal Market,Activity,$,1-3h,Afternoon,,no,,,,"Canal market, Los Angeles",ESTIMATE | REVIEW - ambiguous | GEOCODE FAILED
Photo Booth Museum,Museum,$,1-3h,Afternoon,12,no,,,,"Photo booth museum, Los Angeles",ESTIMATE | name uncertain | GEOCODE FAILED
Natural History Museum,Museum,$$,Half-day,Afternoon,10,no,34.017080,-118.288691,,Natural History Museum of Los Angeles County,"ESTIMATE | matched: Natural History Museum of Los Angeles County, 900,"
Malibu Creek,Outdoors,Free,Half-day,Morning,40,no,34.100354,-118.712707,,"Malibu Creek State Park, Calabasas CA","ESTIMATE | matched: Malibu Creek State Park Ranger Station Kiosk, 1925"
Obscura Collective,Shopping,$$,<1h,Afternoon,12,no,,,,"Obscura Collective, Los Angeles",ESTIMATE | thrift | GEOCODE FAILED
The Grove,Shopping,$$,1-3h,Afternoon,12,yes,34.072589,-118.357739,,"The Grove, Los Angeles","ESTIMATE | matched: The Grove, 189, Fairfax, Los Angeles, Los Angeles"
Lucky Strike,Activity,$$,1-3h,Evening,16,no,33.957783,-118.418058,,"Lucky Strike, Los Angeles","ESTIMATE | bowling | matched: Lucky Strike, 8731, Lincoln Boulevard, Westchester"
The Last Bookstore,Activity,Free,1-3h,Anytime,6,yes,34.047668,-118.249723,,The Last Bookstore downtown Los Angeles CA,"ESTIMATE | 'Last Book LA' deduped here | matched: The Last Bookstore, 453, South Spring Street, Gall"
123 Farms Lavender Night,Day trip,$$,Half-day,Evening,90,no,39.122977,-75.520770,,"123 Farms, Beaumont CA","ESTIMATE | NOT LA - Beaumont | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Beaumont Drive, Highland Acres, Kent County, Delaware, 19901]"
Wildwood Canyon Park,Outdoors,Free,1-3h,Morning,20,no,34.210085,-118.292631,,"Wildwood Canyon Park, Burbank CA","ESTIMATE | matched: Wildwood Canyon Park, 10701, Burbank, Los Angeles"
Warner Bros Studio Tour,Activity,$$$$,Half-day,Morning,20,no,,,,"Warner Bros Studio Tour Hollywood, Burbank CA",ESTIMATE | deduped (was twice) | GEOCODE FAILED
Culver City,Activity,Free,Half-day,Anytime,16,yes,34.021122,-118.396466,,"Culver City, CA","ESTIMATE | matched: Culver City, Los Angeles County, California, 90232"
Long Beach Japanese Garden,Outdoors,$,1-3h,Afternoon,30,no,33.785092,-118.119741,,"Earl Burns Miller Japanese Garden, Long Beach CA","ESTIMATE | matched: Earl Burns Miller Japanese Garden at CSULB, Los Al"
Catalina Island Day,Day trip,$$$,Full-day,Anytime,120,no,33.388904,-118.423929,,"Catalina Island, Avalon CA","ESTIMATE | FERRY not drive - ~2hr total travel | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Santa Catalina Island, Avalon, Los Angeles County, Californi]"
Santa Monica Farmer's Market,Activity,Free,1-3h,Morning,25,no,34.016598,-118.499062,,Santa Monica Farmers Market,"ESTIMATE | Wed + Sat | matched: Santa Monica Farmers Market, Arizona Avenue, Third"
Beachwood Canyon Stairs,Hike,Free,1-3h,Morning,16,no,34.122292,-118.321384,,"Beachwood Canyon, Los Angeles","ESTIMATE | matched: Beachwood Canyon, Los Angeles, Los Angeles County,"
Silverlake Flea Market,Shopping,$,1-3h,Morning,8,yes,,,,"Silver Lake Flea, Los Angeles",ESTIMATE | GEOCODE FAILED
Bronson Caves,Outdoors,Free,<1h,Morning,16,no,,,,"Bronson Caves, Griffith Park, Los Angeles",ESTIMATE | GEOCODE FAILED
Oak Glen,Day trip,$$,Full-day,Anytime,90,no,34.049457,-116.947805,,"Oak Glen, CA","ESTIMATE | NOT LA - fall trip | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Oak Glen, San Bernardino County, California, United States]"
y2k Deadstock Store,Shopping,$$,<1h,Afternoon,6,no,34.035788,-118.271246,,1717 S Figueroa St Los Angeles CA 90015,"ESTIMATE | had explicit address | matched: 1717, South Figueroa Street, South Park, Pico-Unio"
Will Rogers Beach,Outdoors,Free,1-3h,Afternoon,28,yes,34.033311,-118.531955,,"Will Rogers State Beach, Pacific Palisades CA","ESTIMATE | matched: Will Rogers State Beach, Pacific Palisades, Los An"
Dodgers Game,Activity,$$$,Half-day,Evening,8,yes,34.073625,-118.239845,,"Dodger Stadium, Los Angeles","ESTIMATE | matched: Dodger Stadium, 1000, Vin Scully Avenue, Chinatown"
LA Apparel,Shopping,$$,<1h,Afternoon,8,no,33.987045,-118.260989,,"Los Angeles Apparel, Los Angeles","ESTIMATE | matched: Los Angeles Apparel Factory Store, 812, East 59th"
